sample_id,molecule_h5,condition
SRR26129817,./SRR26129817/outs/molecule_info.h5,control
SRR26129818,./SRR26129818/outs/molecule_info.h5,control
SRR26129819,./SRR26129819/outs/molecule_info.h5,control
SRR26129820,./SRR26129820/outs/molecule_info.h5,control
SRR26129821,./SRR26129821/outs/molecule_info.h5,control
SRR26129822,./SRR26129822/outs/molecule_info.h5,control
SRR26129823,./SRR26129823/outs/molecule_info.h5,control
SRR26129824,./SRR26129824/outs/molecule_info.h5,control
SRR26129825,./SRR26129825/outs/molecule_info.h5,control
SRR26129826,./SRR26129826/outs/molecule_info.h5,control
SRR26129827,./SRR26129827/outs/molecule_info.h5,control
SRR26129828,./SRR26129828/outs/molecule_info.h5,control
SRR26129829,./SRR26129829/outs/molecule_info.h5,control
SRR26129830,./SRR26129830/outs/molecule_info.h5,control
SRR26129831,./SRR26129831/outs/molecule_info.h5,control
SRR26129832,./SRR26129832/outs/molecule_info.h5,control
SRR26129833,./SRR26129833/outs/molecule_info.h5,control
SRR26129834,./SRR26129834/outs/molecule_info.h5,control
SRR26129835,./SRR26129835/outs/molecule_info.h5,control
SRR26129836,./SRR26129836/outs/molecule_info.h5,control
SRR26129837,./SRR26129837/outs/molecule_info.h5,control
SRR26129838,./SRR26129838/outs/molecule_info.h5,control
SRR26129839,./SRR26129839/outs/molecule_info.h5,control
SRR26129840,./SRR26129840/outs/molecule_info.h5,control
SRR26129841,./SRR26129841/outs/molecule_info.h5,control
SRR26129842,./SRR26129842/outs/molecule_info.h5,control
SRR26129843,./SRR26129843/outs/molecule_info.h5,control
SRR26129844,./SRR26129844/outs/molecule_info.h5,control
SRR26129845,./SRR26129845/outs/molecule_info.h5,control
SRR26129846,./SRR26129846/outs/molecule_info.h5,control
SRR26129847,./SRR26129847/outs/molecule_info.h5,control
SRR26129848,./SRR26129848/outs/molecule_info.h5,control
SRR26129849,./SRR26129849/outs/molecule_info.h5,control
SRR26129850,./SRR26129850/outs/molecule_info.h5,control
SRR26129851,./SRR26129851/outs/molecule_info.h5,control
SRR26129852,./SRR26129852/outs/molecule_info.h5,control
SRR26129853,./SRR26129853/outs/molecule_info.h5,control
SRR26129854,./SRR26129854/outs/molecule_info.h5,control
SRR26129855,./SRR26129855/outs/molecule_info.h5,control
